Trade ID,System,Action,Ticker,Entry date, Entry price , Qty ,Commission,Exit date,Exit price,PL
1133,MICROREV,L,GPRE,19/05/2022,32.43,54,2.047989,19/05/2022,33.13,35.75
1134,MRIDV3L,L,KSS,19/05/2022,40.61,64,2.074331,19/05/2022,45.04,281.45
1135,TMR,L,POST,19/05/2022,75.79,15,2.02,23/05/2022,78.52,38.93
1136,MICROREV,L,TCRX,19/05/2022,2.96,1,0.06175,19/05/2022,3.05,0.03
1137,MICROREV,L,BMEA,23/05/2022,5.6,311,3.191238,23/05/2022,5.73,37.24
1138,MICROREV,L,IMMX,23/05/2022,1.97,885,9.008623,23/05/2022,2.15,150.29
1139,MICROREV,L,RCMT,23/05/2022,21.43,81,2.049872,23/05/2022,21.21,-19.87
1140,MRIDV3L,L,ANF,24/05/2022,18.83,104,2.058985,24/05/2022,19.09,24.98
1141,MICROREV,L,CAMP,24/05/2022,6.25,279,2.867224,24/05/2022,6.41,41.77
1142,MICROREV,L,HNRG,24/05/2022,4.13,422,4.316269,24/05/2022,4.285,61.09
1143,TMR,L,RCMT,24/05/2022,19.15,61,2.035463,25/05/2022,19.71,32.12
1144,TMR,L,SIGA,24/05/2022,8.92,130,2.043246,25/05/2022,8.85,-11.14
1145,MRIDV3L,L,TGT,24/05/2022,147.26,18,2.064149,24/05/2022,149.95,46.36
1146,MRIDV3L,L,ASO,25/05/2022,25.2,103,2.086675,25/05/2022,31.07,602.52
1147,MRIDV3S,S,CRMT,25/05/2022,104.3,25,2.062962,25/05/2022,109.72,-137.56
1148,MRIDV3S,S,ABG,26/05/2022,184.72,14,2.061041,26/05/2022,178.83,80.4
1149,MRIDV3S,S,AN,26/05/2022,118.23,22,2.062424,26/05/2022,118.36,-4.92
1150,MRIDV3S,S,AVAV,26/05/2022,89.57,29,2.063254,26/05/2022,90.05,-15.98
1151,MRIDV3S,S,CELH,26/05/2022,66,40,2.065656,26/05/2022,65.84,4.33
1152,MICROREV,L,ELEV,26/05/2022,3.68,474,4.837983,26/05/2022,3.35,-161.26
1153,MRIDV3S,S,GRBK,26/05/2022,23.75,110,2.074126,26/05/2022,23.94,-22.97
1154,MICROREV,L,TRKA,26/05/2022,0.87,"2,004.00",20.344117,26/05/2022,0.95,139.98
1155,MRIDV3S,S,DRVN,27/05/2022,29.39,89,2.07147,27/05/2022,29.39,-2.07
1156,MRIDV3S,S,DXC,27/05/2022,35.23,74,2.069321,27/05/2022,35.08,9.03
1157,MRIDV3S,S,KLAC,27/05/2022,363.04,7,2.059105,27/05/2022,371.27,-59.67
1158,MRIDV3S,S,LTHM,27/05/2022,32.27,81,2.070388,27/05/2022,34.49,-181.89
1159,MRIDV3S,S,MAR,27/05/2022,176.04,15,2.062419,27/05/2022,172.56,50.14
1160,MICROREV,L,ORC,27/05/2022,3.08,566,5.773112,27/05/2022,3.05,-22.75
1161,MRIDV3S,S,ELF,31/05/2022,26.92,97,2.072407,31/05/2022,26.62,27.03
1162,MRIDV3S,S,PLAB,31/05/2022,21.92,119,2.075204,31/05/2022,21.74,19.34
1163,MICROREV,L,TFFP,31/05/2022,5.63,310,3.180338,31/05/2022,5.64,-0.08
1164,MRIDV3L,L,BMRN,01/06/2022,73.55,36,2.065991,01/06/2022,74.37,27.45
1165,MICROREV,L,NDLS,01/06/2022,6.23,280,2.874936,01/06/2022,6.01,-64.47
1166,MICROREV,L,NNBR,01/06/2022,2.64,660,6.725701,01/06/2022,2.64,-6.73
1167,TMR,L,SGML,01/06/2022,14.41,81,2.039058,02/06/2022,15.38,76.53
1168,MRIDV3S,S,VC,01/06/2022,116.26,22,2.061432,01/06/2022,113,69.66
1169,MICROREV,L,EPM,02/06/2022,7.34,236,2.431807,02/06/2022,7.61,61.29
1170,MRIDV3S,S,MRCY,02/06/2022,63.47,41,2.064922,02/06/2022,63.49,-2.88
1171,MRIDV3S,S,NFE,03/06/2022,50.27,52,2.066622,03/06/2022,49.44,41.09
1172,MICROREV,L,ABUS,06/06/2022,2.5,697,7.101471,06/06/2022,2.56,34.72
1173,MICROREV,L,ACER,06/06/2022,2.54,686,6.984997,06/06/2022,2.28,-185.34
1174,MRIDV3S,S,ATKR,06/06/2022,119.8,22,2.063215,06/06/2022,122.84,-68.94
1175,MRIDV3S,S,DDS,06/06/2022,333.68,8,2.06217,06/06/2022,334.68,-10.06
1176,MICROREV,L,EEX,06/06/2022,3.33,524,5.348319,06/06/2022,3.35,5.13
1177,MRIDV3S,S,FNKO,06/06/2022,22.1,118,2.075059,06/06/2022,21.42,78.16
1178,MICROREV,L,MNMD,06/06/2022,0.95,"1,835.00",18.62942,06/06/2022,0.9726,22.84
1179,TMR,L,MYPS,06/06/2022,5.69,204,2.093709,07/06/2022,5.82,24.43
1180,MRIDV3S,S,PWR,06/06/2022,134.57,20,2.064233,06/06/2022,131.4,61.34
1181,MRIDV3S,S,SLVM,06/06/2022,53,49,2.065841,06/06/2022,50.71,110.14
1182,MICROREV,L,AXTI,07/06/2022,5.92,46,2.0123,07/06/2022,6,1.67
1183,TMR,L,DHX,07/06/2022,6.31,185,2.04,08/06/2022,6.06,-48.29
1184,TMR,L,PRCT,07/06/2022,37.15,31,2.03,08/06/2022,38.28,33
1185,MRIDV3S,S,OLLI,08/06/2022,53.07,49,2.06592,08/06/2022,53.38,-17.26
1186,MRIDV3S,S,PRVA,08/06/2022,27.42,96,2.07276,08/06/2022,26.95,43.05
1187,MRIDV3L,L,VIRT,08/06/2022,22.98,114,2.076613,08/06/2022,23.67,76.58
1188,TMR,L,AIR,09/06/2022,48.46,24,2.028968,10/06/2022,47.03,-36.35
1189,MRIDV3L,L,ARE,09/06/2022,153.25,17,2.060788,09/06/2022,150.47,-49.32
1190,MRIDV3L,L,EHC,09/06/2022,58.84,45,2.065959,09/06/2022,58.33,-25.02
1191,MRIDV3L,L,GNK,09/06/2022,23.02,114,2.07382,09/06/2022,22.6,-49.95
1192,MRIDV3L,L,MATX,09/06/2022,80.37,33,2.065955,09/06/2022,81.6,38.52
1193,TMR,L,NFE,09/06/2022,47.21,25,2.028406,10/06/2022,43.94,-83.78
1194,MRIDV3L,L,SAFE,09/06/2022,40.18,65,2.067216,09/06/2022,39.48,-47.57
1195,MICROREV,L,AUVI,10/06/2022,2.26,772,7.869153,10/06/2022,2.76,378.13
1196,MICROREV,L,BJDX,10/06/2022,1.36,"1,283.00",13.032928,10/06/2022,1.23,-179.82
