Date,tmr,microrev,mridv3l,mridv3s
29/12/2010,42474,41039,89170,84909
30/12/2010,42401,40726,89170,84909
31/12/2010,42505,40456,89170,84909
03/01/2011,42573,40202,89170,84945
04/01/2011,42299,40336,89170,84945
05/01/2011,42739,40455,89138,84326
06/01/2011,42717,40422,88950,85156
07/01/2011,42854,40001,89364,85193
10/01/2011,42997,40173,89444,85062
11/01/2011,43044,39472,89814,85443
12/01/2011,43047,39865,89814,85262
13/01/2011,43059,39865,89814,85524
14/01/2011,43081,39222,89814,85795
18/01/2011,43083,39337,89814,85633
19/01/2011,42015,39277,89794,85633
20/01/2011,41720,39331,89848,85633
21/01/2011,41611,39309,89848,87044
24/01/2011,41684,39309,90057,87044
25/01/2011,41655,39309,90173,86853
26/01/2011,41735,39309,90173,86574
27/01/2011,41702,39309,90173,86517
28/01/2011,41697,39215,90220,86517
31/01/2011,41904,39215,90108,86517
01/02/2011,41701,39215,90108,86487
02/02/2011,41668,39215,90108,86618
03/02/2011,41602,38764,90108,86689
04/02/2011,41502,38764,90108,86693
07/02/2011,41640,39105,90243,87520
08/02/2011,41874,39156,90320,87520
09/02/2011,42241,39081,90320,87649
10/02/2011,42584,39120,90803,87391
11/02/2011,42616,39120,90803,87122
14/02/2011,42653,39120,90443,86843
15/02/2011,42519,39264,90164,86843
16/02/2011,42493,37492,90189,86843
17/02/2011,42715,37931,90362,86753
18/02/2011,42331,38766,91011,86773
22/02/2011,41647,38927,90640,86773
23/02/2011,41351,38927,90423,86773
24/02/2011,41501,38927,90423,87507
25/02/2011,42045,39150,90785,87214
28/02/2011,42146,39301,90785,87468
01/03/2011,42323,39208,90665,87456
02/03/2011,42288,38066,90647,87456
03/03/2011,42294,38128,90830,87274
04/03/2011,42057,38128,90841,87255
07/03/2011,41824,38076,90691,87544
08/03/2011,41835,37853,91028,87362
09/03/2011,41843,37916,91028,87436
10/03/2011,41379,37887,91416,86262
11/03/2011,42067,38219,92103,86315
14/03/2011,42236,38151,92288,85365
15/03/2011,42540,38100,93206,85400
16/03/2011,42142,38313,92919,86529
17/03/2011,42247,38375,92943,86659
18/03/2011,42247,38375,92943,86651
21/03/2011,42247,38375,92943,86875
22/03/2011,42247,38123,92888,86219
23/03/2011,42391,38269,92888,86057
24/03/2011,42535,38297,92888,86135
25/03/2011,42555,38237,92888,86135
28/03/2011,42555,38061,92888,86358
29/03/2011,42479,38061,92888,86365
30/03/2011,42637,38107,92888,86358
31/03/2011,42706,38107,92888,86343
01/04/2011,42791,38275,92888,86524
04/04/2011,42833,38410,92888,86070
05/04/2011,42827,38803,93053,84976
06/04/2011,43188,38739,93016,86826
07/04/2011,43474,38769,93016,86826
08/04/2011,43396,38787,92938,86922
11/04/2011,43352,38588,92678,86922
12/04/2011,43212,38585,92975,86922
13/04/2011,43761,38585,92954,86923
14/04/2011,43761,38585,93067,86887
15/04/2011,43761,38585,93338,86831
18/04/2011,44158,38658,93457,86831
19/04/2011,44399,38839,93438,86719
20/04/2011,44429,38914,93438,86719
21/04/2011,44336,38914,93438,86349
25/04/2011,44331,38914,93531,86167
26/04/2011,44331,38905,93660,86191
27/04/2011,44391,39220,93660,86135
28/04/2011,44474,39332,93916,85912
29/04/2011,44121,39287,94026,86110
02/05/2011,44215,39179,93822,86110
03/05/2011,43993,38805,93724,86110
04/05/2011,43969,38765,92697,86110
05/05/2011,44326,38574,93485,85974
06/05/2011,44413,38574,93485,85974
09/05/2011,44413,38990,93645,85920
10/05/2011,44413,38990,93645,86223
11/05/2011,44413,39022,93602,85713
12/05/2011,44740,39104,93602,85772
13/05/2011,44640,39104,93634,86012
16/05/2011,44539,38910,93379,86012
17/05/2011,44836,38940,93374,86012
